"","D1n1","D1n2","D3n1","D3n2","D7n1","D7n2","LZn1","LZn2","Pachn1","Pachn2"
"NM_026559",13.02441,15.9149,26.33783,17.1129,15.68528,16.04941,2.57876,4.144681,6.347727,3.496344
"NM_026558",17.06439,16.72341,21.99345,15.98811,14.13039,15.74487,21.70457,38.21305,21.69596,23.9125
"NR_045305",0.06029818,0,0,0,0,0,0,0,0,0
"NM_001159529",0,0,0,0,0,0.03045429,0,0,0,0
"NR_045303",0,0,0,0,0,0,0,0,0,0
"NM_001143802",0.9044728,1.106384,0.8145722,1.044449,1.691282,1.339989,1.93407,2.413935,0.3789688,0.1873041
"NM_029064",0,0.04255322,0.03394051,0,0.05455748,0,2.148967,2.91494,1.042164,0.9365207
"NR_035408_5",0,0,0,0,0,0,0,0,0,0
"NM_029066",0.06029818,0.08510644,0.06788102,0.321369,0.3819024,0.4568144,43.83893,44.36175,7.579375,5.057212
"NM_029067",0,0.04255322,0,0,0,0,25.57271,25.73346,7.389891,5.306951
"NM_029061",0,0,0,0,0,0,4.083037,7.150713,1.136906,4.4953
"NM_029062",0.06029818,0,0,0.04017113,0,0,6.232004,6.012065,21.03277,15.17164
"NR_035408_4",0,0,0,0,0,0,0,0,0,0
"NM_029068",0.2411927,0.08510644,0.2036431,0.1606845,0.2182299,0.2436343,0,0,0.09474219,0.06243472
"NM_029069",0,0,0,0.04017113,0,0,0,4.736778,0,0.5619124
"NM_001034878",0.8441746,1.489363,0.6957804,1.044449,0.3000661,0.7918116,100.5717,162.6901,93.13157,97.8352
"NR_035408_6",0,0,0,0,0,0,0,0,0,0
"NM_001034871",0,0,0,0,0,0,0,0,0,0
"NR_035408_1",0,0,0,0,0,0,0,0,0,0
"NM_001034872",0,0,0,0,0.02727874,0.03045429,0,0,0,0
"NM_001034875",0.7838764,1.106384,0.7806317,0.5623958,0.5455748,0.7918116,0.2148967,0.1821838,0,0.06243472
"NM_001034874",12.78321,12.46809,10.13124,19.88471,13.42114,18.75984,0.4297934,0.819827,0.5684531,0.3121736
